temp,feelslike,dew,humidity,precip,precipprob,snow,snowdepth,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,uvindex,conditions_Clear,conditions_Overcast,conditions_Partly_cloudy,conditions_Rain_overcast,conditions_Rain_partly_cloudy,conditions_Snow_overcast,conditions_Snow_rain_overcast,preciptype_no_precipitation,preciptype_rain,preciptype_rain_and_snow,preciptype_snow
29.0,19.1,13.8,52.6,0.0,0,0.0,0.0,11.8,313.0,1024.6,100.0,9.9,0.0,0,0,1,0,0,0,0,0,1,0,0,0
29.8,19.5,11.6,46.16,0.0,0,0.0,0.0,13.1,350.0,1025.0,90.0,9.9,0.0,0,0,0,1,0,0,0,0,1,0,0,0
29.8,20.1,8.9,40.92,0.0,0,0.0,0.0,11.7,351.0,1025.1,85.7,9.9,0.0,0,0,0,1,0,0,0,0,1,0,0,0
42.1,33.6,28.3,57.85,0.0,0,0.0,0.0,18.2,291.0,1014.4,100.0,9.9,0.0,0,0,1,0,0,0,0,0,1,0,0,0
41.8,34.1,27.1,55.62,0.0,0,0.0,0.0,15.2,282.0,1015.0,83.7,9.9,0.0,0,0,0,1,0,0,0,0,1,0,0,0
39.6,32.5,27.1,60.7,0.0,0,0.0,0.0,11.5,282.0,1015.8,46.1,9.9,0.0,0,0,0,1,0,0,0,0,1,0,0,0
38.8,31.5,27.2,62.97,0.0,0,0.0,0.0,11.4,290.0,1016.5,24.6,9.9,0.0,0,0,0,1,0,0,0,0,1,0,0,0
37.8,31.3,27.1,65.19,0.0,0,0.0,0.0,9.1,290.0,1017.3,0.0,9.9,0.0,0,1,0,0,0,0,0,0,1,0,0,0
37.6,32.2,28.1,68.38,0.0,0,0.0,0.0,7.0,294.0,1018.0,0.0,9.9,0.0,0,1,0,0,0,0,0,0,1,0,0,0
35.8,28.3,26.8,69.46,0.0,0,0.0,0.0,10.3,330.0,1018.6,24.6,9.9,6.0,0,0,0,1,0,0,0,0,1,0,0,0
36.9,32.1,25.0,61.83,0.0,0,0.0,0.0,6.0,331.0,1019.2,24.6,9.9,34.0,0,0,0,1,0,0,0,0,1,0,0,0
38.8,33.7,24.3,55.87,0.0,0,0.0,0.0,6.9,320.0,1019.3,24.6,9.9,175.0,2,0,0,1,0,0,0,0,1,0,0,0
40.8,35.1,23.4,49.42,0.0,0,0.0,0.0,9.1,282.0,1019.3,24.6,9.9,467.0,5,0,0,1,0,0,0,0,1,0,0,0
43.9,38.9,22.0,41.57,0.0,0,0.0,0.0,8.9,247.0,1018.9,24.6,9.9,646.0,6,0,0,1,0,0,0,0,1,0,0,0
45.0,39.0,29.2,53.59,0.0,0,0.0,0.0,12.4,241.0,1018.3,24.6,9.9,786.0,8,0,0,1,0,0,0,0,1,0,0,0
45.2,39.3,29.5,53.74,0.0,0,0.0,0.0,12.5,229.0,1018.3,24.6,9.9,880.0,9,0,0,1,0,0,0,0,1,0,0,0
47.2,43.3,29.8,50.7,0.0,0,0.0,0.0,8.2,231.0,1017.0,45.0,9.9,923.0,9,0,0,1,0,0,0,0,1,0,0,0
48.9,44.9,26.7,41.8,0.0,0,0.0,0.0,9.5,247.0,1015.3,45.0,9.9,919.0,9,0,0,1,0,0,0,0,1,0,0,0
51.2,51.2,20.6,29.75,0.0,0,0.0,0.0,14.0,229.0,1014.2,80.1,9.9,853.0,9,0,0,1,0,0,0,0,1,0,0,0
52.1,52.1,19.5,27.5,0.0,0,0.0,0.0,14.4,229.0,1012.8,85.7,9.9,663.0,7,0,0,1,0,0,0,0,1,0,0,0
52.2,52.2,23.1,31.78,0.0,0,0.0,0.0,13.7,220.0,1011.0,80.1,9.9,456.0,5,0,0,1,0,0,0,0,1,0,0,0
51.3,51.3,27.0,38.75,0.0,0,0.0,0.0,10.7,222.0,1010.3,89.9,9.9,178.0,2,0,0,1,0,0,0,0,1,0,0,0
47.3,41.6,30.3,51.48,0.0,0,0.0,0.0,13.4,211.0,1009.3,100.0,9.9,32.0,0,0,1,0,0,0,0,0,1,0,0,0
47.8,43.3,34.0,58.54,0.0,0,0.0,0.0,10.2,191.0,1006.9,90.0,9.9,9.0,0,0,0,1,0,0,0,0,1,0,0,0
48.5,47.6,36.9,64.0,0.0,0,0.0,0.0,3.4,298.0,1007.5,90.0,9.9,0.0,0,0,0,1,0,0,0,0,1,0,0,0
49.5,48.7,36.0,59.35,0.0,0,0.0,0.0,3.6,180.0,1006.9,98.9,9.9,0.0,0,0,1,0,0,0,0,0,1,0,0,0
50.9,50.9,38.5,62.6,0.0,0,0.0,0.0,6.8,199.0,1006.3,100.0,9.9,0.0,0,0,1,0,0,0,0,0,1,0,0,0
59.7,59.7,41.1,50.25,0.0,0,0.0,0.0,7.7,230.0,1023.7,90.1,9.9,0.0,0,0,1,0,0,0,0,0,1,0,0,0
58.9,58.9,42.2,53.8,0.0,0,0.0,0.0,7.0,221.0,1023.6,90.1,9.9,0.0,0,0,1,0,0,0,0,0,1,0,0,0
57.8,57.8,43.0,57.7,0.0,0,0.0,0.0,6.7,199.0,1023.3,97.8,9.9,0.0,0,0,1,0,0,0,0,0,1,0,0,0
57.8,57.8,42.1,55.85,0.0,0,0.0,0.0,5.7,174.0,1023.0,98.9,9.9,0.0,0,0,1,0,0,0,0,0,1,0,0,0
57.7,57.7,42.3,56.5,0.0,0,0.0,0.0,3.5,135.0,1022.9,100.0,9.9,0.0,0,0,1,0,0,0,0,0,1,0,0,0
56.8,56.8,43.4,60.8,0.0,0,0.0,0.0,6.9,202.0,1023.7,100.0,9.9,0.2,0,0,1,0,0,0,0,0,1,0,0,0
56.8,56.8,43.5,60.9,0.0,0,0.0,0.0,4.9,181.0,1023.9,98.4,9.9,9.0,0,0,1,0,0,0,0,0,1,0,0,0
58.8,58.8,43.1,56.01,0.0,0,0.0,0.0,6.6,147.0,1023.6,98.9,9.9,34.0,0,0,1,0,0,0,0,0,1,0,0,0
60.1,60.1,44.3,55.8,0.0,0,0.0,0.0,8.7,265.0,1024.3,90.4,9.9,107.0,1,0,1,0,0,0,0,0,1,0,0,0
64.7,64.7,44.4,47.77,0.0,0,0.0,0.0,8.7,222.0,1024.0,80.1,9.9,343.0,3,0,0,1,0,0,0,0,1,0,0,0
67.8,67.8,44.4,42.89,0.0,0,0.0,0.0,9.1,240.0,1024.2,7.7,9.9,532.0,5,1,0,0,0,0,0,0,1,0,0,0
69.2,69.2,45.1,42.04,0.0,0,0.0,0.0,9.0,240.0,1024.1,28.1,9.9,786.0,8,0,0,1,0,0,0,0,1,0,0,0
71.2,71.2,47.0,42.04,0.0,0,0.0,0.0,11.3,212.0,1024.0,24.6,9.9,874.0,9,0,0,1,0,0,0,0,1,0,0,0
73.3,73.3,45.2,36.68,0.0,0,0.0,0.0,13.7,211.0,1023.4,45.0,9.9,907.0,9,0,0,1,0,0,0,0,1,0,0,0
73.2,73.2,44.4,35.54,0.0,0,0.0,0.0,14.6,238.0,1023.0,53.1,9.9,908.0,9,0,0,1,0,0,0,0,1,0,0,0
74.1,74.1,43.3,33.22,0.0,0,0.0,0.0,14.8,230.0,1022.6,47.4,9.9,860.0,9,0,0,1,0,0,0,0,1,0,0,0
74.1,74.1,42.4,32.06,0.0,0,0.0,0.0,14.7,237.0,1022.4,45.4,9.9,693.0,7,0,0,1,0,0,0,0,1,0,0,0
74.1,74.1,43.1,32.96,0.0,0,0.0,0.0,13.0,238.0,1022.3,45.0,9.9,586.0,6,0,0,1,0,0,0,0,1,0,0,0
73.2,73.2,43.1,33.96,0.0,0,0.0,0.0,13.8,230.0,1022.4,80.1,9.9,395.0,4,0,0,1,0,0,0,0,1,0,0,0
72.1,72.1,42.3,34.24,0.0,0,0.0,0.0,11.4,240.0,1022.1,45.0,9.9,113.0,1,0,0,1,0,0,0,0,1,0,0,0
69.2,69.2,42.2,37.5,0.0,0,0.0,0.0,8.3,230.0,1022.4,24.6,9.9,31.0,0,0,0,1,0,0,0,0,1,0,0,0
65.1,65.1,43.1,44.69,0.0,0,0.0,0.0,8.0,220.0,1022.4,24.6,9.9,13.0,0,0,0,1,0,0,0,0,1,0,0,0
62.9,62.9,46.7,55.54,0.0,0,0.0,0.0,8.0,219.0,1022.5,24.6,9.9,0.0,0,0,0,1,0,0,0,0,1,0,0,0
61.0,61.0,46.0,57.69,0.0,0,0.0,0.0,5.6,210.0,1022.6,45.0,9.9,0.0,0,0,0,1,0,0,0,0,1,0,0,0
71.0,71.0,67.5,88.67,0.0,0,0.0,0.0,6.5,239.0,1014.1,95.5,9.9,0.0,0,0,1,0,0,0,0,0,1,0,0,0
70.8,70.8,67.5,89.16,0.0,0,0.0,0.0,4.2,257.0,1013.7,99.0,8.8,0.0,0,0,1,0,0,0,0,0,1,0,0,0
69.9,69.9,66.4,88.68,0.0,0,0.0,0.0,3.3,303.0,1013.2,90.1,9.9,0.0,0,0,1,0,0,0,0,0,1,0,0,0
68.9,68.9,64.0,84.43,0.0,0,0.0,0.0,0.0,360.0,1012.8,90.1,9.9,0.0,0,0,1,0,0,0,0,0,1,0,0,0
68.8,68.8,63.9,84.39,0.0,0,0.0,0.0,0.0,359.0,1012.4,42.3,9.9,0.0,0,0,0,1,0,0,0,0,1,0,0,0
68.8,68.8,62.9,81.43,0.0,0,0.0,0.0,0.0,358.0,1012.1,55.8,9.9,0.7,0,0,0,1,0,0,0,0,1,0,0,0
